FILETYPE=CHANNEL DATA (ARRAY)
TYPE=RamanShift
LASER=532nm
LEN=546
CCD=Artemis
IT=1000ms
DATETIME=2025-07-28 12:53:15
XAREA=Min:-7.5, Max:7.5, Step:0.75, Count:21
YAREA=Min:-10, Max:10, Step:0.8, Count:26
ZAREA=
MAPAREA=YX
CHCOUNT=4
CHNO=0
CHTYPE=PeakHeight
CHPEAKLABEL=E1_height
CHPEAKCENTER=351
CHPEAKWIDTH=2
CHPEAKBACKGROUND=0
CHTHRESHOLD=0
CHNO=1
CHTYPE=PeakHeight
CHPEAKLABEL=A_heigt
CHPEAKCENTER=419.5
CHPEAKWIDTH=2
CHPEAKBACKGROUND=0
CHTHRESHOLD=0
CHNO=2
CHTYPE=PeakWidth
CHPEAKLABEL=E_freq
CHPEAKCENTER=351
CHPEAKWIDTH=3
CHPEAKBACKGROUND=0
CHTHRESHOLD=0
CHNO=3
CHTYPE=PeakWidth
CHPEAKLABEL=A_freq
CHPEAKCENTER=419.5
CHPEAKWIDTH=3
CHPEAKBACKGROUND=0
CHTHRESHOLD=0
MAPARRAY=
X,Y,Z,CHNO=0,CHNO=1,CHNO=2,CHNO=3,
0.75,-6.8,0,2104,901,351.176,420.714
1.5,-6.8,0,1573,578,351.176,420.714
2.25,-6.8,0,641,503,351.176,420.714
3,-6.8,0,581,529,349.658,417.703
3.75,-6.8,0,492,491,348.139,420.714
4.5,-6.8,0,514,561,348.139,417.703
5.25,-6.8,0,512,500,348.139,417.703
6,-6.8,0,507,525,348.139,417.703
6.75,-6.8,0,533,514,348.139,419.209
7.5,-6.8,0,504,552,351.176,417.703
-7.5,-6,0,3457,1464,351.176,420.714
-6.75,-6,0,4315,1822,351.176,420.714
-6,-6,0,4950,2170,351.176,420.714
-5.25,-6,0,4588,1739,351.176,420.714
-4.5,-6,0,3211,1133,351.176,420.714
-3.75,-6,0,2735,942,351.176,420.714
-3,-6,0,2718,979,351.176,420.714
-2.25,-6,0,2664,904,351.176,420.714
-1.5,-6,0,2713,1042,351.176,420.714
-0.75,-6,0,3117,1414,351.176,420.714
0,-6,0,3391,1576,351.176,420.714
0.75,-6,0,3410,1432,351.176,420.714
1.5,-6,0,2437,820,351.176,420.714
2.25,-6,0,857,527,351.176,420.714
3,-6,0,518,505,349.658,419.209
3.75,-6,0,503,488,348.139,417.703
4.5,-6,0,476,494,348.139,419.209
5.25,-6,0,536,481,349.658,417.703
6,-6,0,532,520,351.176,420.714
6.75,-6,0,562,474,351.176,420.714
7.5,-6,0,547,486,349.658,420.714
-7.5,-5.2,0,5494,2787,349.658,420.714
-6.75,-5.2,0,5510,2465,351.176,420.714
-6,-5.2,0,5111,1941,351.176,420.714
-5.25,-5.2,0,3584,1204,351.176,420.714
-4.5,-5.2,0,2888,902,351.176,420.714
-3.75,-5.2,0,2680,866,351.176,420.714
-3,-5.2,0,2537,909,351.176,420.714
-2.25,-5.2,0,2587,871,351.176,420.714
-1.5,-5.2,0,2578,868,351.176,420.714
-0.75,-5.2,0,2677,1072,351.176,420.714
0,-5.2,0,3061,1356,351.176,420.714
0.75,-5.2,0,4435,2181,351.176,420.714
1.5,-5.2,0,2395,841,351.176,420.714
2.25,-5.2,0,784,514,351.176,420.714
3,-5.2,0,550,496,351.176,419.209
3.75,-5.2,0,563,485,349.658,419.209
4.5,-5.2,0,541,531,348.139,417.703
5.25,-5.2,0,494,485,348.139,419.209
6,-5.2,0,457,446,348.139,419.209
6.75,-5.2,0,584,521,351.176,419.209
7.5,-5.2,0,664,542,351.176,419.209
-7.5,-4.4,0,5453,2306,351.176,420.714
-6.75,-4.4,0,4312,1462,351.176,420.714
-6,-4.4,0,3648,1132,351.176,420.714
-5.25,-4.4,0,3192,1222,351.176,420.714
-4.5,-4.4,0,3418,1189,351.176,420.714
